,"Québec Cap-and-Trade System",,,,,,,," ","Ontario Cap-and-Trade Program (2017-2018)",,,,,,,," ","Nova Scotia Cap-and-Trade Program (2019-2022)",,,,,," ","China National Emissions Trading System",,,," ","Shenzhen (Pilot) Emissions Trading System",,,,," ","Shanghai (Pilot) Emissions Trading System",,,,," ","Beijing (Pilot) Emissions Trading System",,,,," ","Guangdong (Pilot) Emissions Trading System",,,,," ","Tianjin (Pilot) Emissions Trading System",,,,," ","Hubei (Pilot) Emissions Trading System",,,,," ","Chongqing (Pilot) Emissions Trading System",,,,," ","Fujian (Pilot) Emissions Trading System",,,," ","German National Emissions Trading System",,,," ","European Union Emissions Trading System (until 2018)",,,," ","European Union Emissions Trading System (from 2019, download)",,,,," ","Korean Emissions Trading System",,,,," ","New Zealand Emissions Trading System (Up to 2023)",,,,,,,," ","New Zealand Emissions Trading System (From 2024)",,,,,,,," ","Washington Cap-and-Invest Program (download)",,,,,,,,," ","California Cap-and-Trade Program (download)",,,,,,,,,," "
2017-02-22,0.716722464,0.762782633,CAD,17.84,17.84,50.44,56.79,63.04," ",,,,,,,,," ",,,,,,," ",,,,," ",0.136709844,0.145495502,CNY,,35.12," ",0.136709844,0.145495502,CNY,,37.28," ",0.136709844,0.145495502,CNY,,51.73," ",0.136709844,0.145495502,CNY,,14.27," ",,,,,," ",0.136709844,0.145495502,CNY,,17.46," ",0.136709844,0.145495502,CNY,,16.53," ",0.136709844,0.145495502,CNY,37.65," ",,,,," ",1,1.064265,EUR,," ",,,,,," ",0.000820682,0.000873423,KRW,,24000," ",0.678422818,0.722021661,NZD,,,,18.1,25," ",,,,,,,,," ",,,,,,,,,," ",0.939615603,1,USD,13.57,13.57,50.69,57.04,63.37,,," "
2017-05-16,0.66470053,0.734992611,CAD,18.82,18.51,50.44,56.74,63.04," ",,,,,,,,," ",,,,,,," ",,,,," ",0.131259982,0.145140725,CNY,,34," ",,,,,," ",0.131259982,0.145140725,CNY,,50.75," ",0.131259982,0.145140725,CNY,,14.26," ",,,,,," ",0.131259982,0.145140725,CNY,,15.85," ",0.131259982,0.145140725,CNY,,1.22," ",0.131259982,0.145140725,CNY,35.9," ",,,,," ",1,1.10575,EUR,4.45," ",,,,,," ",0.000803679,0.000888668,KRW,,20600," ",0.627376729,0.693721818,NZD,,,,17,25," ",,,,,,,,," ",,,,,,,,,," ",0.904363554,1,USD,13.8,13.57,50.69,57.04,63.37,,," "
2017-08-15,0.67194699,0.793350282,CAD,18.74,17.24,50.44,56.74,63.04," ",,,,,,,,," ",,,,,,," ",,,,," ",,,,,," ",0.126964139,0.149903247,CNY,,27.5," ",,,,,," ",0.126964139,0.149903247,CNY,,12.36," ",,,,,," ",0.126964139,0.149903247,CNY,,12.21," ",0.126964139,0.149903247,CNY,,3.8," ",0.126964139,0.149903247,CNY,32.6," ",,,,," ",1,1.180673913,EUR,," ",,,,,," ",,,,,," ",0.619223505,0.731101038,NZD,,,,17.77,25," ",,,,,,,,," ",,,,,,,,,," ",0.84697391,1,USD,14.75,13.57,50.69,57.04,63.37,,," "
2017-11-14,0.667196665,0.783155445,CAD,19.1,17.21,50.44,56.74,63.04," ",,,,,,,,," ",,,,,,," ",,,,," ",0.128586322,0.150934625,CNY,,23.21," ",0.128586322,0.150934625,CNY,,32," ",,,,,," ",0.128586322,0.150934625,CNY,,14," ",,,,,," ",0.128586322,0.150934625,CNY,,16.37," ",0.128586322,0.150934625,CNY,,4.9," ",0.128586322,0.150934625,CNY,27.8," ",,,,," ",1,1.1738,EUR,7.26," ",,,,,," ",0.000770953,0.000904945,KRW,,23600," ",0.586812157,0.68880011,NZD,,,,19.24,25," ",,,,,,,,," ",,,,,,,,,," ",0.85193389,1,USD,15.06,13.57,50.69,57.04,63.37,,," "
2018-02-21,0.643450913,0.794520319,CAD,18.44,18.34,53.38,60.04,66.71," ",0.643450913,0.794520319,CAD,18.44,18.34,,,," ",,,,,,," ",,,,," ",,,,,," ",,,,,," ",,,,,," ",,,,,," ",,,,,," ",,,,,," ",,,,,," ",,,,," ",,,,," ",1,1.23478,EUR,," ",,,,,," ",0.000750163,0.000926286,KRW,,22000," ",0.592176708,0.731207956,NZD,,,,21.2,25," ",,,,,,,,," ",,,,,,,,,," ",0.809860866,1,USD,14.61,14.53,54.26,61.06,67.83,,," "
2018-05-15,0.657626394,0.776803243,CAD,18.72,18.56,53.38,60.04,66.71," ",0.657626394,0.776803243,CAD,18.72,18.56,,,," ",,,,,,," ",,,,," ",0.132811904,0.15688044,CNY,,34.2," ",0.132811904,0.15688044,CNY,,38.05," ",0.132811904,0.15688044,CNY,,50.02," ",0.132811904,0.15688044,CNY,,14.76," ",,,,,," ",0.132811904,0.15688044,CNY,,15.46," ",,,,,," ",0.132811904,0.15688044,CNY,22.4," ",,,,," ",1,1.181222727,EUR,14.7," ",,,,,," ",0.0007865,0.000929031,KRW,,22100," ",0.588638849,0.695313586,NZD,,,,21.27,25," ",,,,,,,,," ",,,,,,,,,," ",0.846580392,1,USD,14.65,14.53,54.26,61.06,67.83,,," "
2018-08-15,0.663957535,0.76680167,CAD,19.77,19.09,53.38,60.04,66.71," ",,,,,,,,," ",,,,,,," ",,,,," ",0.12637258,0.145947143,CNY,,27.74," ",,,,,," ",0.12637258,0.145947143,CNY,,70.6," ",0.12637258,0.145947143,CNY,,14.14," ",,,,,," ",0.12637258,0.145947143,CNY,,29.37," ",,,,,," ",0.12637258,0.145947143,CNY,13.72," ",,,,," ",1,1.154895652,EUR,," ",,,,,," ",,,,,," ",0.577637821,0.667111408,NZD,,,,24.2,25," ",,,,,,,,," ",,,,,,,,,," ",0.865879093,1,USD,15.05,14.53,54.26,61.06,67.83,,," "
2018-11-14,0.666543829,0.757651281,CAD,20.27,19.24,53.38,60.04,66.71," ",,,,,,,,," ",,,,,,," ",,,,," ",0.126750723,0.144075818,CNY,,15.1," ",,,,,," ",,,,,," ",0.126750723,0.144075818,CNY,,16.2," ",,,,,," ",0.126750723,0.144075818,CNY,,27.92," ",,,,,," ",0.126750723,0.144075818,CNY,26.7," ",,,,," ",1,1.136686364,EUR,," ",,,,,," ",0.00077952,0.000886069,KRW,,23300," ",,,,,,,,," ",,,,,,,,," ",,,,,,,,,," ",0.879750151,1,USD,15.31,14.53,54.26,61.06,67.83,,," "
2019-02-20,0.66711805,0.757255705,CAD,20.82,20.68,56.96,64.07,71.19," ",,,,,,,,," ",,,,,,," ",,,,," ",0.130792526,0.148464558,CNY,,25.27," ",,,,,," ",,,,,," ",0.130792526,0.148464558,CNY,,19.99," ",,,,,," ",0.130792526,0.148464558,CNY,,31.47," ",,,,,," ",,,,," ",,,,," ",,,,," ",,,,,," ",0.000784862,0.000890908,KRW,,26000," ",0.602124262,0.683480282,NZD,,,,25.15,25," ",,,,,,,,," ",,,,,,,,,," ",0.880968008,1,USD,15.73,15.62,58.34,65.65,72.93,,," "
2019-05-14,0.664262056,0.742949936,CAD,23.48,21.02,56.96,64.07,71.19," ",,,,,,,,," ",,,,,,," ",,,,," ",0.130138718,0.145554832,CNY,,17.57," ",0.130138718,0.145554832,CNY,,39.93," ",0.130138718,0.145554832,CNY,,77.88," ",0.130138718,0.145554832,CNY,,22.25," ",,,,,," ",0.130138718,0.145554832,CNY,,32.05," ",,,,,," ",,,,," ",,,,," ",,,,," ",1,1.118459091,EUR,25.03,," ",0.000755594,0.000845101,KRW,,28200," ",0.586786926,0.656297171,NZD,,,,25.45,25," ",,,,,,,,," ",,,,,,,,,," ",0.894087239,1,USD,17.45,15.62,58.34,65.65,72.93,,," "
2019-08-19,0.67696342,0.753204887,CAD,22.82,20.77,56.96,64.07,71.19," ",,,,,,,,," ",,,,,,," ",,,,," ",0.127267295,0.141600485,CNY,,15.36," ",,,,,," ",0.127267295,0.141600485,CNY,,85.1," ",0.127267295,0.141600485,CNY,,23.06," ",,,,,," ",0.127267295,0.141600485,CNY,,33.32," ",,,,,," ",0.127267295,0.141600485,CNY,14.42," ",,,,," ",,,,," ",1,1.112622727,EUR,26.25,25.92," ",0.000743418,0.000827144,KRW,,29900," ",0.578438187,0.643583473,NZD,,,,24.35,25," ",,,,,,,,," ",,,,,,,,,," ",0.898777254,1,USD,17.16,15.62,58.34,65.65,72.93,,," "
2019-11-19,0.683868735,0.755740082,CAD,22.46,20.64,56.96,64.07,71.19," ",,,,,,,,," ",,,,,,," ",,,,," ",,,,,," ",0.128933979,0.142484327,CNY,,44.02," ",0.128933979,0.142484327,CNY,,67.2," ",0.128933979,0.142484327,CNY,,27.43," ",,,,,," ",0.128933979,0.142484327,CNY,,27.95," ",,,,,," ",,,,," ",,,,," ",,,,," ",1,1.105095238,EUR,23.62,," ",0.000775108,0.000856568,KRW,,36550," ",0.579061486,0.63991809,NZD,,,,24.92,25," ",,,,,,,,," ",,,,,,,,,," ",0.904899384,1,USD,17,15.62,58.34,65.65,72.93,,," "
2020-02-19,0.690216351,0.752680931,CAD,23.69,22.11,60.79,68.38,75.97," ",,,,,,,,," ",,,,,,," ",,,,," ",0.131007811,0.142864018,CNY,,8.6," ",,,,,," ",,,,,," ",0.131007811,0.142864018,CNY,,27.26," ",,,,,," ",,,,,," ",0.131007811,0.142864018,CNY,,30.42," ",,,,," ",,,,," ",,,,," ",,,,,," ",0.000768151,0.000837668,KRW,,39400," ",0.586511382,0.639590662,NZD,,,,26.5,25," ",,,,,,,,," ",,,,,,,,,," ",0.917010546,1,USD,17.87,16.68,62.29,70.09,77.86,,," "
2020-05-20,0.656906835,0.716149978,CAD,23.17,23.17,60.79,68.38,75.97," ",,,,,,,,," ",,,,,,," ",,,,," ",0.128991856,0.140624987,CNY,,23.42," ",0.128991856,0.140624987,CNY,,38," ",,,,,," ",0.128991856,0.140624987,CNY,,27.75," ",0.128991856,0.140624987,CNY,,23," ",0.128991856,0.140624987,CNY,,25.89," ",0.128991856,0.140624987,CNY,,35.6," ",,,,," ",,,,," ",,,,," ",1,1.090185,EUR,20.11,," ",0.00074656,0.000813888,KRW,,33700," ",0.558157179,0.608494584,NZD,,,,25.02,25," ",,,,,,,,," ",,,,,,,,,," ",0.917275508,1,USD,16.68,16.68,62.29,70.09,77.86,,," "
2020-08-18,0.639376865,0.756261045,CAD,22.03,22.03,60.79,68.38,75.97," ",,,,,,,,," ",,,,,,," ",,,,," ",0.122010195,0.144314821,CNY,,31.21," ",0.122010195,0.144314821,CNY,,39.62," ",,,,,," ",0.122010195,0.144314821,CNY,,28.04," ",0.122010195,0.144314821,CNY,,26," ",0.122010195,0.144314821,CNY,,27.73," ",,,,,," ",0.122010195,0.144314821,CNY,16.5," ",,,,," ",,,,," ",1,1.182809524,EUR,26.05,," ",0.000712343,0.000842566,KRW,,20000," ",0.557644393,0.659587098,NZD,,,,33.9,35," ",,,,,,,,," ",,,,,,,,,," ",0.845444664,1,USD,16.68,16.68,62.29,70.09,77.86,,," "
2020-11-17,0.646038723,0.764774487,CAD,22.15,21.83,60.79,68.38,75.97," ",,,,,,,,," ",,,,,,," ",,,,," ",0.127833316,0.151327862,CNY,,4.19," ",,,,,," ",,,,,," ",0.127833316,0.151327862,CNY,,28.02," ",0.127833316,0.151327862,CNY,,25.31," ",0.127833316,0.151327862,CNY,,27.63," ",,,,,," ",,,,," ",,,,," ",,,,," ",1,1.183790476,EUR,27.12,," ",0.000756424,0.000895448,KRW,,22200," ",0.579067784,0.685494927,NZD,,,,35.5,35," ",,,,,,,,," ",,,,,,,,,," ",0.844744083,1,USD,16.93,16.68,62.29,70.09,77.86,,," "
2021-02-17,0.650930897,0.78748969,CAD,22.58,22.49,52.57,67.56,82.54," ",,,,,,,,," ",,,,,,," ",,,,," ",,,,,," ",,,,,," ",,,,,," ",,,,,," ",,,,,," ",,,,,," ",,,,,," ",,,,," ",,,,," ",,,,," ",1,1.20979,EUR,38.42,," ",0.000743523,0.000899507,KRW,,19000," ",0.598761129,0.724375226,NZD,,,,39.2,," ",,,,,,,,," ",,,,,,,,,," ",0.826589739,1,USD,17.8,17.71,41.4,53.2,,65,," "
2021-05-19,0.677863661,0.823326747,CAD,22.26,21.51,50.28,64.62,78.95," ",,,,,,,,," ",,,,,,," ",,,,," ",0.128026182,0.155499381,CNY,,8.43," ",,,,,," ",0.128026182,0.155499381,CNY,,81.49," ",0.128026182,0.155499381,CNY,,39.91," ",0.128026182,0.155499381,CNY,,27," ",0.128026182,0.155499381,CNY,,30.41," ",0.128026182,0.155499381,CNY,,25.12," ",,,,," ",,,,," ",,,,," ",1,1.214590476,EUR,52.12,," ",,,,,," ",0.594542731,0.722125939,NZD,,,,36.97,," ",,,,,,,,," ",,,,,,,,,," ",0.823322774,1,USD,18.8,17.71,41.4,53.2,,65,," "
2021-08-18,0.673984445,0.793402234,CAD,29.41,22.32,52.18,67.05,81.93," ",,,,,,,,," ",,,,,,," ",0.131171982,0.154413272,CNY,51.87," ",0.131171982,0.154413272,CNY,,27," ",0.131171982,0.154413272,CNY,39.76,40.5," ",0.131171982,0.154413272,CNY,,66," ",0.131171982,0.154413272,CNY,,37.48," ",,,,,," ",0.131171982,0.154413272,CNY,,43.79," ",0.131171982,0.154413272,CNY,,35," ",0.131171982,0.154413272,CNY,13," ",,,,," ",,,,," ",1,1.177181818,EUR,57.7,," ",0.000732101,0.000861816,KRW,,25600," ",0.592100402,0.697009828,NZD,,,,49.65,," ",,,,,,,,," ",,,,,,,,,," ",0.849486447,1,USD,23.3,17.71,41.4,53.2,,65,," "
2021-11-17,0.698481862,0.797250372,CAD,35.47,22.21,51.93,66.73,81.53," ",,,,,,,,," ",,,,,,," ",0.137105471,0.156492808,CNY,43.12," ",0.137105471,0.156492808,CNY,,8.74," ",0.137105471,0.156492808,CNY,,43.05," ",0.137105471,0.156492808,CNY,,31.4," ",0.137105471,0.156492808,CNY,,44.97," ",,,,,," ",0.137105471,0.156492808,CNY,,40.05," ",0.137105471,0.156492808,CNY,,38.75," ",0.137105471,0.156492808,CNY,18.56," ",,,,," ",,,,," ",1,1.141404545,EUR,67.14,," ",0.000740643,0.000845373,KRW,,33000," ",0.615550875,0.702592567,NZD,,,,65.1,," ",,,,,,,,," ",,,,,,,,,," ",0.87611356,1,USD,28.26,17.71,41.4,53.2,,65,," "
2022-02-16,0.693264816,0.786294022,CAD,37.14,25.05,58.57,75.25,91.94," ",,,,,,,,," ",,,,,,," ",0.139037152,0.157694548,CNY,56.6," ",0.139037152,0.157694548,CNY,,8.55," ",0.139037152,0.157694548,CNY,,44.21," ",0.139037152,0.157694548,CNY,,60," ",0.139037152,0.157694548,CNY,,77.15," ",0.139037152,0.157694548,CNY,,27," ",0.139037152,0.157694548,CNY,,53.27," ",0.139037152,0.157694548,CNY,,37.9," ",0.139037152,0.157694548,CNY,10.87," ",,,,," ",,,,," ",1,1.13419,EUR,88.05,," ",0.000735757,0.000834488,KRW,,30500," ",0.587986989,0.666888963,NZD,,,,85.5,," ",,,,,,,,," ",,,,,,,,,," ",0.88168649,1,USD,29.15,19.7,46.05,59.17,,72.29,," "
2022-05-18,0.73495674,0.777473987,CAD,39.59,25.34,59.23,76.11,92.98," ",,,,,,,,," ",,,,,,," ",0.140725068,0.148866013,CNY,58," ",0.140725068,0.148866013,CNY,,9.34," ",0.140725068,0.148866013,CNY,,63," ",0.140725068,0.148866013,CNY,,60," ",0.140725068,0.148866013,CNY,,79.06," ",0.140725068,0.148866013,CNY,,28," ",0.140725068,0.148866013,CNY,,46.01," ",0.140725068,0.148866013,CNY,,42.53," ",0.140725068,0.148866013,CNY,18.15," ",,,,," ",,,,," ",1,1.05785,EUR,87.25,," ",0.000744412,0.000787476,KRW,,20400," ",0.605388157,0.640409862,NZD,,,,76.42,," ",,,,,,,,," ",,,,,,,,,," ",0.945313608,1,USD,30.85,19.7,46.05,59.17,,72.29,," "
2022-08-17,0.764079629,0.773893069,CAD,34.74,25.46,59.5,76.46,93.41," ",,,,,,,,," ",,,,,,," ",0.145147625,0.147011825,CNY,58," ",0.145147625,0.147011825,CNY,,52.48," ",0.145147625,0.147011825,CNY,,60.14," ",0.145147625,0.147011825,CNY,,92.57," ",0.145147625,0.147011825,CNY,,78.99," ",0.145147625,0.147011825,CNY,,35," ",0.145147625,0.147011825,CNY,,46.64," ",0.145147625,0.147011825,CNY,,47," ",0.145147625,0.147011825,CNY,23.57," ",,,,," ",,,,," ",1,1.012843478,EUR,94.07,," ",0.000748854,0.000758472,KRW,,27400," ",0.618543657,0.626487909,NZD,,,,83.5,," ",,,,,,,,," ",,,,,,,,,," ",0.987319385,1,USD,27,19.7,46.05,59.17,,72.29,," "
