scheme_id,jurisdiction,year,ipcc_code,cf_CO2,cf_CO2_source,cf_CO2_comment
nld_tax_II,Netherlands,2025,3C1,,NA,NA
nld_tax_II,Netherlands,2025,3C2,,NA,NA
nld_tax_II,Netherlands,2025,3C3,,NA,NA
nld_tax_II,Netherlands,2025,3C4,,NA,NA
nld_tax_II,Netherlands,2025,3C5,,NA,NA
nld_tax_II,Netherlands,2025,3C6,,NA,NA
nld_tax_II,Netherlands,2025,3C7,,NA,NA
nld_tax_II,Netherlands,2025,3C8,,NA,NA
nld_tax_II,Netherlands,2025,3D,,NA,NA
nld_tax_II,Netherlands,2025,3D1,,NA,NA
nld_tax_II,Netherlands,2025,3D2,,NA,NA
nld_tax_II,Netherlands,2025,4,,NA,NA
nld_tax_II,Netherlands,2025,4A,,NA,NA
nld_tax_II,Netherlands,2025,4A1,,NA,NA
nld_tax_II,Netherlands,2025,4A2,,NA,NA
nld_tax_II,Netherlands,2025,4A3,,NA,NA
nld_tax_II,Netherlands,2025,4B,,NA,NA
nld_tax_II,Netherlands,2025,4C,,NA,NA
nld_tax_II,Netherlands,2025,4C1,,NA,NA
nld_tax_II,Netherlands,2025,4C2,,NA,NA
nld_tax_II,Netherlands,2025,4D,,NA,NA
nld_tax_II,Netherlands,2025,4D1,,NA,NA
nld_tax_II,Netherlands,2025,4D2,,NA,NA
nld_tax_II,Netherlands,2025,4E,,NA,NA
nld_tax_II,Netherlands,2025,5,,NA,NA
nld_tax_II,Netherlands,2025,5A,,NA,NA
nld_tax_II,Netherlands,2025,5A1,,NA,NA
nld_tax_II,Netherlands,2025,5A2,,NA,NA
