scheme_id,jurisdiction,year,ipcc_code,cf_CO2,cf_CO2_source,cf_CO2_comment
mex_bc_tax,Baja California,2021,2G3,1.0,NA,NA
mex_bc_tax,Baja California,2021,2G4,1.0,NA,NA
mex_bc_tax,Baja California,2021,2H,,NA,NA
mex_bc_tax,Baja California,2021,2H1,1.0,NA,NA
mex_bc_tax,Baja California,2021,2H2,1.0,NA,NA
mex_bc_tax,Baja California,2021,2H3,1.0,NA,NA
mex_bc_tax,Baja California,2021,3,,NA,NA
mex_bc_tax,Baja California,2021,3A,,NA,NA
mex_bc_tax,Baja California,2021,3A1,,NA,NA
mex_bc_tax,Baja California,2021,3A2,,NA,NA
mex_bc_tax,Baja California,2021,3B,,NA,NA
mex_bc_tax,Baja California,2021,3B1,,NA,NA
mex_bc_tax,Baja California,2021,3B1A,,NA,NA
mex_bc_tax,Baja California,2021,3B1B,,NA,NA
mex_bc_tax,Baja California,2021,3B2,,NA,NA
mex_bc_tax,Baja California,2021,3B2A,,NA,NA
mex_bc_tax,Baja California,2021,3B2B,,NA,NA
mex_bc_tax,Baja California,2021,3B3,,NA,NA
mex_bc_tax,Baja California,2021,3B3A,,NA,NA
mex_bc_tax,Baja California,2021,3B3B,,NA,NA
mex_bc_tax,Baja California,2021,3B4,,NA,NA
mex_bc_tax,Baja California,2021,3B4A,,NA,NA
mex_bc_tax,Baja California,2021,3B4B,,NA,NA
mex_bc_tax,Baja California,2021,3B5,,NA,NA
mex_bc_tax,Baja California,2021,3B5A,,NA,NA
mex_bc_tax,Baja California,2021,3B5B,,NA,NA
mex_bc_tax,Baja California,2021,3B6,,NA,NA
mex_bc_tax,Baja California,2021,3B6A,,NA,NA
mex_bc_tax,Baja California,2021,3B6B,,NA,NA
mex_bc_tax,Baja California,2021,3B6B1,,NA,NA
mex_bc_tax,Baja California,2021,3B6B2,,NA,NA
mex_bc_tax,Baja California,2021,3B6B3,,NA,NA
mex_bc_tax,Baja California,2021,3B6B4,,NA,NA
mex_bc_tax,Baja California,2021,3B6B5,,NA,NA
mex_bc_tax,Baja California,2021,3C,,NA,NA
mex_bc_tax,Baja California,2021,3C1,,NA,NA
mex_bc_tax,Baja California,2021,3C2,,NA,NA
mex_bc_tax,Baja California,2021,3C3,,NA,NA
mex_bc_tax,Baja California,2021,3C4,,NA,NA
mex_bc_tax,Baja California,2021,3C5,,NA,NA
mex_bc_tax,Baja California,2021,3C6,,NA,NA
mex_bc_tax,Baja California,2021,3C7,,NA,NA
mex_bc_tax,Baja California,2021,3C8,,NA,NA
mex_bc_tax,Baja California,2021,3D,,NA,NA
mex_bc_tax,Baja California,2021,3D1,,NA,NA
mex_bc_tax,Baja California,2021,3D2,,NA,NA
mex_bc_tax,Baja California,2021,4,,NA,NA
mex_bc_tax,Baja California,2021,4A,,NA,NA
mex_bc_tax,Baja California,2021,4A1,,NA,NA
mex_bc_tax,Baja California,2021,4A2,,NA,NA
mex_bc_tax,Baja California,2021,4A3,,NA,NA
mex_bc_tax,Baja California,2021,4B,,NA,NA
mex_bc_tax,Baja California,2021,4C,,NA,NA
mex_bc_tax,Baja California,2021,4C1,,NA,NA
mex_bc_tax,Baja California,2021,4C2,,NA,NA
mex_bc_tax,Baja California,2021,4D,,NA,NA
mex_bc_tax,Baja California,2021,4D1,,NA,NA
mex_bc_tax,Baja California,2021,4D2,,NA,NA
mex_bc_tax,Baja California,2021,4E,,NA,NA
mex_bc_tax,Baja California,2021,5,,NA,NA
mex_bc_tax,Baja California,2021,5A,,NA,NA
mex_bc_tax,Baja California,2021,5A1,,NA,NA
mex_bc_tax,Baja California,2021,5A2,,NA,NA
