inst_1,inst_2,ipcc_code,year,source,comment
eu_ets,slo_tax,1A2E,2009,,
eu_ets,slo_tax,1A2E,2010,,
eu_ets,slo_tax,1A2E,2011,,
eu_ets,slo_tax,1A2E,2012,,
eu_ets,slo_tax,1A2E,2013,,
eu_ets,slo_tax,1A2E,2014,,
eu_ets,slo_tax,1A2E,2015,,
eu_ets,slo_tax,1A2E,2016,,
eu_ets,slo_tax,1A2E,2017,,
eu_ets,slo_tax,1A2E,2018,,
eu_ets,slo_tax,1A2E,2019,,
eu_ets,slo_tax,1A2E,2020,,
eu_ets,slo_tax,1A2F,2005,,
eu_ets,slo_tax,1A2G,2006,,
eu_ets,slo_tax,1A2G,2007,,
eu_ets,slo_tax,1A2G,2008,,
eu_ets,slo_tax,1A2G,2009,,
eu_ets,slo_tax,1A2G,2010,,
eu_ets,slo_tax,1A2G,2011,,
eu_ets,slo_tax,1A2G,2012,,
eu_ets,slo_tax,1A2G,2013,,
eu_ets,slo_tax,1A2G,2014,,
eu_ets,slo_tax,1A2G,2015,,
eu_ets,slo_tax,1A2G,2016,,
eu_ets,slo_tax,1A2G,2017,,
eu_ets,slo_tax,1A2G,2018,,
eu_ets,slo_tax,1A2G,2019,,
eu_ets,slo_tax,1A2G,2020,,
eu_ets,slo_tax,1A2H,2005,,
eu_ets,slo_tax,1A2H,2006,,
eu_ets,slo_tax,1A2H,2007,,
eu_ets,slo_tax,1A2H,2008,,
eu_ets,slo_tax,1A2H,2009,,
eu_ets,slo_tax,1A2H,2010,,
eu_ets,slo_tax,1A2H,2011,,
eu_ets,slo_tax,1A2H,2012,,
eu_ets,slo_tax,1A2H,2013,,
eu_ets,slo_tax,1A2H,2014,,
eu_ets,slo_tax,1A2H,2015,,
eu_ets,slo_tax,1A2H,2016,,
eu_ets,slo_tax,1A2H,2017,,
eu_ets,slo_tax,1A2H,2018,,
eu_ets,slo_tax,1A2H,2019,,
eu_ets,slo_tax,1A2H,2020,,
eu_ets,slo_tax,1A2I,2005,,
eu_ets,slo_tax,1A2I,2006,,
eu_ets,slo_tax,1A2I,2007,,
eu_ets,slo_tax,1A2I,2008,,
eu_ets,slo_tax,1A2I,2009,,
eu_ets,slo_tax,1A2I,2010,,
eu_ets,slo_tax,1A2I,2011,,
eu_ets,slo_tax,1A2I,2012,,
eu_ets,slo_tax,1A2I,2013,,
eu_ets,slo_tax,1A2I,2014,,
eu_ets,slo_tax,1A2I,2015,,
eu_ets,slo_tax,1A2I,2016,,
eu_ets,slo_tax,1A2I,2017,,
eu_ets,slo_tax,1A2I,2018,,
eu_ets,slo_tax,1A2I,2019,,
eu_ets,slo_tax,1A2I,2020,,
eu_ets,slo_tax,1A2J,2005,,
eu_ets,slo_tax,1A2J,2006,,
eu_ets,slo_tax,1A2J,2007,,
eu_ets,slo_tax,1A2J,2008,,
eu_ets,slo_tax,1A2J,2009,,
eu_ets,slo_tax,1A2J,2010,,
eu_ets,slo_tax,1A2J,2011,,
eu_ets,slo_tax,1A2J,2012,,
eu_ets,slo_tax,1A2J,2013,,
eu_ets,slo_tax,1A2J,2014,,
eu_ets,slo_tax,1A2J,2015,,
eu_ets,slo_tax,1A2J,2016,,
eu_ets,slo_tax,1A2J,2017,,
eu_ets,slo_tax,1A2J,2018,,
eu_ets,slo_tax,1A2J,2019,,
eu_ets,slo_tax,1A2J,2020,,
eu_ets,slo_tax,1A2K,2005,,
eu_ets,slo_tax,1A2K,2006,,
eu_ets,slo_tax,1A2K,2007,,
eu_ets,slo_tax,1A2K,2008,,
eu_ets,slo_tax,1A2K,2009,,
eu_ets,slo_tax,1A2K,2010,,
eu_ets,slo_tax,1A2K,2011,,
eu_ets,slo_tax,1A2K,2012,,
eu_ets,slo_tax,1A2K,2013,,
eu_ets,slo_tax,1A2K,2014,,
eu_ets,slo_tax,1A2K,2015,,
eu_ets,slo_tax,1A2K,2016,,
eu_ets,slo_tax,1A2K,2017,,
eu_ets,slo_tax,1A2K,2018,,
eu_ets,slo_tax,1A2K,2019,,
eu_ets,slo_tax,1A2K,2020,,
eu_ets,slo_tax,1A2L,2005,,
eu_ets,slo_tax,1A2L,2006,,
eu_ets,slo_tax,1A2L,2007,,
eu_ets,slo_tax,1A2L,2008,,
eu_ets,slo_tax,1A2L,2009,,
eu_ets,slo_tax,1A2L,2010,,
eu_ets,slo_tax,1A2L,2011,,
eu_ets,slo_tax,1A2L,2012,,
eu_ets,slo_tax,1A2L,2013,,
eu_ets,slo_tax,1A2L,2014,,
eu_ets,slo_tax,1A2L,2015,,
eu_ets,slo_tax,1A2L,2016,,
eu_ets,slo_tax,1A2L,2017,,
eu_ets,slo_tax,1A2L,2018,,
eu_ets,slo_tax,1A2L,2019,,
