Jurisdiction,Year,IPCC_cat_code,Product,tax,ets,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Ontario,1989,2H,,,,,,
Ontario,1989,2H1,,,,,,
Ontario,1989,2H2,,,,,,
Ontario,1989,2H3,,,,,,
Ontario,1989,3,,,,,,
Ontario,1989,3A,,,,,,
Ontario,1989,3A1,,,,,,
Ontario,1989,3A2,,,,,,
Ontario,1989,3B,,,,,,
Ontario,1989,3B1,,,,,,
Ontario,1989,3B1A,,,,,,
Ontario,1989,3B1B,,,,,,
Ontario,1989,3B2,,,,,,
Ontario,1989,3B2A,,,,,,
Ontario,1989,3B2B,,,,,,
Ontario,1989,3B3,,,,,,
Ontario,1989,3B3A,,,,,,
Ontario,1989,3B3B,,,,,,
Ontario,1989,3B4,,,,,,
Ontario,1989,3B4A,,,,,,
Ontario,1989,3B4B,,,,,,
Ontario,1989,3B5,,,,,,
Ontario,1989,3B5A,,,,,,
Ontario,1989,3B5B,,,,,,
Ontario,1989,3B6,,,,,,
Ontario,1989,3B6A,,,,,,
Ontario,1989,3B6B,,,,,,
Ontario,1989,3B6B1,,,,,,
Ontario,1989,3B6B2,,,,,,
Ontario,1989,3B6B3,,,,,,
Ontario,1989,3B6B4,,,,,,
Ontario,1989,3B6B5,,,,,,
Ontario,1989,3C,,,,,,
Ontario,1989,3C1,,,,,,
Ontario,1989,3C2,,,,,,
Ontario,1989,3C3,,,,,,
Ontario,1989,3C4,,,,,,
Ontario,1989,3C5,,,,,,
Ontario,1989,3C6,,,,,,
Ontario,1989,3C7,,,,,,
Ontario,1989,3C8,,,,,,
Ontario,1989,3D,,,,,,
Ontario,1989,3D1,,,,,,
Ontario,1989,3D2,,,,,,
Ontario,1989,4,,,,,,
Ontario,1989,4A,,,,,,
Ontario,1989,4A1,,,,,,
Ontario,1989,4A2,,,,,,
Ontario,1989,4A3,,,,,,
Ontario,1989,4B,,,,,,
Ontario,1989,4C,,,,,,
Ontario,1989,4C1,,,,,,
Ontario,1989,4C2,,,,,,
Ontario,1989,4D,,,,,,
Ontario,1989,4D1,,,,,,
Ontario,1989,4D2,,,,,,
Ontario,1989,4E,,,,,,
Ontario,1989,5,,,,,,
Ontario,1989,5A,,,,,,
Ontario,1989,5A1,,,,,,
Ontario,1989,5A2,,,,,,
Ontario,1990,0,,,,,,
Ontario,1990,1,,,,,,
Ontario,1990,1A,Coal/peat,,,,,
Ontario,1990,1A,Natural gas,,,,,
Ontario,1990,1A,Oil,,,,,
Ontario,1990,1A1,Coal/peat,,,,,
Ontario,1990,1A1,Natural gas,,,,,
Ontario,1990,1A1,Oil,,,,,
Ontario,1990,1A1A,Coal/peat,,,,,
Ontario,1990,1A1A,Natural gas,,,,,
Ontario,1990,1A1A,Oil,,,,,
Ontario,1990,1A1A1,Coal/peat,,,,,
Ontario,1990,1A1A1,Natural gas,,,,,
Ontario,1990,1A1A1,Oil,,,,,
Ontario,1990,1A1A2,Coal/peat,,,,,
Ontario,1990,1A1A2,Natural gas,,,,,
Ontario,1990,1A1A2,Oil,,,,,
Ontario,1990,1A1A3,Coal/peat,,,,,
Ontario,1990,1A1A3,Natural gas,,,,,
Ontario,1990,1A1A3,Oil,,,,,
Ontario,1990,1A1B,Coal/peat,,,,,
Ontario,1990,1A1B,Natural gas,,,,,
Ontario,1990,1A1B,Oil,,,,,
Ontario,1990,1A1C,Coal/peat,,,,,
Ontario,1990,1A1C,Natural gas,,,,,
Ontario,1990,1A1C,Oil,,,,,
Ontario,1990,1A2,Coal/peat,,,,,
Ontario,1990,1A2,Natural gas,,,,,
Ontario,1990,1A2,Oil,,,,,
Ontario,1990,1A2A,Coal/peat,,,,,
Ontario,1990,1A2A,Natural gas,,,,,
Ontario,1990,1A2A,Oil,,,,,
Ontario,1990,1A2B,Coal/peat,,,,,
Ontario,1990,1A2B,Natural gas,,,,,
