jurisdiction,year,ipcc_code,Product
,1990,1B2B,
,1990,1B2B1,
,1990,1B2B2,
,1990,1B2B3,
,1990,1B2B31,
,1990,1B2B32,
,1990,1B2B33,
,1990,1B2B34,
,1990,1B2B35,
,1990,1B2B36,
,1990,1B3,
,1990,1C,
,1990,1C1,
,1990,1C1A,
,1990,1C1B,
,1990,1C1C,
,1990,1C2,
,1990,1C2A,
,1990,1C2B,
,1990,1C3,
,1990,2A,
,1990,2A1,
,1990,2A2,
,1990,2A3,
,1990,2A4,
,1990,2A4A,
,1990,2A4B,
,1990,2A4C,
,1990,2A4D,
,1990,2B,
,1990,2B1,
,1990,2B10,
,1990,2B2,
,1990,2B3,
,1990,2B4,
,1990,2B5,
,1990,2B6,
,1990,2B7,
,1990,2B8,
,1990,2B8A,
,1990,2B8B,
,1990,2B8C,
,1990,2B8D,
,1990,2B8E,
,1990,2B8F,
,1990,2B9,
,1990,2B9A,
,1990,2B9B,
,1990,2C,
,1990,2C1,
,1990,2C2,
,1990,2C3,
,1990,2C4,
,1990,2C5,
,1990,2C6,
,1990,2C7,
,1990,2D,
,1990,2D1,
,1990,2D2,
,1990,2D3,
,1990,2D4,
,1990,2E,
,1990,2E1,
,1990,2E2,
,1990,2E3,
,1990,2E4,
,1990,2E5,
,1990,2F,
,1990,2F1,
,1990,2F2,
,1990,2F3,
,1990,2F4,
,1990,2F5,
,1990,2F6,
,1990,2G,
,1990,2G1,
,1990,2G2,
,1990,2G3,
,1990,2G4,
,1990,2H,
,1990,2H1,
,1990,2H2,
,1990,2H3,
,1990,3A,
,1990,3A1,
,1990,3A2,
,1990,3B,
,1990,3B1,
,1990,3B1A,
,1990,3B1B,
,1990,3B2,
,1990,3B2A,
,1990,3B2B,
,1990,3B3,
,1990,3B3A,
,1990,3B3B,
,1990,3B4,
,1990,3B4A,
,1990,3B4B,
,1990,3B5,
,1990,3B5A,
,1990,3B5B,
,1990,3B6,
,1990,3B6A,
,1990,3B6B,
,1990,3B6B1,
,1990,3B6B2,
,1990,3B6B3,
,1990,3B6B4,
,1990,3B6B5,
,1990,3C,
,1990,3C1,
,1990,3C2,
,1990,3C3,
,1990,3C4,
,1990,3C5,
,1990,3C6,
,1990,3C7,
,1990,3C8,
,1990,3D,
,1990,3D1,
,1990,3D2,
,1990,4A,
,1990,4A1,
,1990,4A2,
,1990,4A3,
,1990,4B,
,1990,4C,
,1990,4C1,
,1990,4C2,
,1990,4D,
,1990,4D1,
,1990,4D2,
,1990,4E,
,1990,5A,
,1990,5A1,
,1990,5A2,
,1991,0,
,1991,1,
,1991,2,
,1991,3,
,1991,4,
,1991,5,
,1991,1A,Coal
,1991,1A,Natural gas
,1991,1A,Oil
,1991,1A1,Coal
,1991,1A1,Natural gas
,1991,1A1,Oil
,1991,1A1A,Coal
,1991,1A1A,Natural gas
,1991,1A1A,Oil
,1991,1A1A1,Coal
,1991,1A1A1,Natural gas
,1991,1A1A1,Oil
,1991,1A1A2,Coal
,1991,1A1A2,Natural gas
,1991,1A1A2,Oil
,1991,1A1A3,Coal
,1991,1A1A3,Natural gas
,1991,1A1A3,Oil
,1991,1A1B,Coal
,1991,1A1B,Natural gas
,1991,1A1B,Oil
,1991,1A1C,Coal
,1991,1A1C,Natural gas
,1991,1A1C,Oil
,1991,1A2,Coal
,1991,1A2,Natural gas
,1991,1A2,Oil
