Jurisdiction,Year,IPCC_cat_code,Product,tax,ets,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Angola,1989,1A3B,Coal/peat,,,,,
Angola,1989,1A3B,Natural gas,,,,,
Angola,1989,1A3B,Oil,,,,,
Angola,1989,1A3C,Coal/peat,,,,,
Angola,1989,1A3C,Natural gas,,,,,
Angola,1989,1A3C,Oil,,,,,
Angola,1989,1A3D,Coal/peat,,,,,
Angola,1989,1A3D,Natural gas,,,,,
Angola,1989,1A3D,Oil,,,,,
Angola,1989,1A3D1,Coal/peat,,,,,
Angola,1989,1A3D1,Natural gas,,,,,
Angola,1989,1A3D1,Oil,,,,,
Angola,1989,1A3D2,Coal/peat,,,,,
Angola,1989,1A3D2,Natural gas,,,,,
Angola,1989,1A3D2,Oil,,,,,
Angola,1989,1A3E,Coal/peat,,,,,
Angola,1989,1A3E,Natural gas,,,,,
Angola,1989,1A3E,Oil,,,,,
Angola,1989,1A3E1,Coal/peat,,,,,
Angola,1989,1A3E1,Natural gas,,,,,
Angola,1989,1A3E1,Oil,,,,,
Angola,1989,1A4,Coal/peat,,,,,
Angola,1989,1A4,Natural gas,,,,,
Angola,1989,1A4,Oil,,,,,
Angola,1989,1A4A,Coal/peat,,,,,
Angola,1989,1A4A,Natural gas,,,,,
Angola,1989,1A4A,Oil,,,,,
Angola,1989,1A4B,Coal/peat,,,,,
Angola,1989,1A4B,Natural gas,,,,,
Angola,1989,1A4B,Oil,,,,,
Angola,1989,1A4C,Coal/peat,,,,,
Angola,1989,1A4C,Natural gas,,,,,
Angola,1989,1A4C,Oil,,,,,
Angola,1989,1A4C1,Coal/peat,,,,,
Angola,1989,1A4C1,Natural gas,,,,,
Angola,1989,1A4C1,Oil,,,,,
Angola,1989,1A4C2,Coal/peat,,,,,
Angola,1989,1A4C2,Natural gas,,,,,
Angola,1989,1A4C2,Oil,,,,,
Angola,1989,1A4C3,Coal/peat,,,,,
Angola,1989,1A4C3,Natural gas,,,,,
Angola,1989,1A4C3,Oil,,,,,
Angola,1989,1A5,Coal/peat,,,,,
Angola,1989,1A5,Natural gas,,,,,
Angola,1989,1A5,Oil,,,,,
Angola,1989,1A5A,Coal/peat,,,,,
Angola,1989,1A5A,Natural gas,,,,,
