Jurisdiction,Year,IPCC_cat_code,Product,tax,ets,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Federated States of Micronesia,1989,1B2B3,,,,,,
Federated States of Micronesia,1989,1B2B31,,,,,,
Federated States of Micronesia,1989,1B2B32,,,,,,
Federated States of Micronesia,1989,1B2B33,,,,,,
Federated States of Micronesia,1989,1B2B34,,,,,,
Federated States of Micronesia,1989,1B2B35,,,,,,
Federated States of Micronesia,1989,1B2B36,,,,,,
Federated States of Micronesia,1989,1B3,,,,,,
Federated States of Micronesia,1989,1C,,,,,,
Federated States of Micronesia,1989,1C1,,,,,,
Federated States of Micronesia,1989,1C1A,,,,,,
Federated States of Micronesia,1989,1C1B,,,,,,
Federated States of Micronesia,1989,1C1C,,,,,,
Federated States of Micronesia,1989,1C2,,,,,,
Federated States of Micronesia,1989,1C2A,,,,,,
Federated States of Micronesia,1989,1C2B,,,,,,
Federated States of Micronesia,1989,1C3,,,,,,
Federated States of Micronesia,1989,2,,,,,,
Federated States of Micronesia,1989,20,,,,,,
Federated States of Micronesia,1989,200,,,,,,
Federated States of Micronesia,1989,2000,,,,,,
Federated States of Micronesia,1989,20000,,,,,,
Federated States of Micronesia,1989,200000,,,,,,
Federated States of Micronesia,1989,2A,,,,,,
Federated States of Micronesia,1989,2A1,,,,,,
Federated States of Micronesia,1989,2A2,,,,,,
Federated States of Micronesia,1989,2A3,,,,,,
Federated States of Micronesia,1989,2A4,,,,,,
Federated States of Micronesia,1989,2A4A,,,,,,
Federated States of Micronesia,1989,2A4B,,,,,,
Federated States of Micronesia,1989,2A4C,,,,,,
Federated States of Micronesia,1989,2A4D,,,,,,
Federated States of Micronesia,1989,2B,,,,,,
Federated States of Micronesia,1989,2B1,,,,,,
Federated States of Micronesia,1989,2B10,,,,,,
Federated States of Micronesia,1989,2B2,,,,,,
Federated States of Micronesia,1989,2B3,,,,,,
Federated States of Micronesia,1989,2B4,,,,,,
Federated States of Micronesia,1989,2B5,,,,,,
Federated States of Micronesia,1989,2B6,,,,,,
Federated States of Micronesia,1989,2B7,,,,,,
Federated States of Micronesia,1989,2B8,,,,,,
Federated States of Micronesia,1989,2B8A,,,,,,
Federated States of Micronesia,1989,2B8B,,,,,,
Federated States of Micronesia,1989,2B8C,,,,,,
Federated States of Micronesia,1989,2B8D,,,,,,
Federated States of Micronesia,1989,2B8E,,,,,,
Federated States of Micronesia,1989,2B8F,,,,,,
Federated States of Micronesia,1989,2B9,,,,,,
Federated States of Micronesia,1989,2B9A,,,,,,
Federated States of Micronesia,1989,2B9B,,,,,,
Federated States of Micronesia,1989,2C,,,,,,
Federated States of Micronesia,1989,2C1,,,,,,
Federated States of Micronesia,1989,2C2,,,,,,
Federated States of Micronesia,1989,2C3,,,,,,
Federated States of Micronesia,1989,2C4,,,,,,
Federated States of Micronesia,1989,2C5,,,,,,
Federated States of Micronesia,1989,2C6,,,,,,
Federated States of Micronesia,1989,2C7,,,,,,
Federated States of Micronesia,1989,2D,,,,,,
Federated States of Micronesia,1989,2D1,,,,,,
Federated States of Micronesia,1989,2D2,,,,,,
Federated States of Micronesia,1989,2D3,,,,,,
Federated States of Micronesia,1989,2D4,,,,,,
Federated States of Micronesia,1989,2E,,,,,,
Federated States of Micronesia,1989,2F,,,,,,
Federated States of Micronesia,1989,2F1,,,,,,
Federated States of Micronesia,1989,2F2,,,,,,
Federated States of Micronesia,1989,2F3,,,,,,
Federated States of Micronesia,1989,2F4,,,,,,
Federated States of Micronesia,1989,2F5,,,,,,
Federated States of Micronesia,1989,2F6,,,,,,
Federated States of Micronesia,1989,2G,,,,,,
Federated States of Micronesia,1989,2G1,,,,,,
Federated States of Micronesia,1989,2G2,,,,,,
Federated States of Micronesia,1989,2G3,,,,,,
Federated States of Micronesia,1989,2G4,,,,,,
Federated States of Micronesia,1989,2H,,,,,,
Federated States of Micronesia,1989,2H1,,,,,,
Federated States of Micronesia,1989,2H2,,,,,,
Federated States of Micronesia,1989,2H3,,,,,,
Federated States of Micronesia,1989,3,,,,,,
Federated States of Micronesia,1989,3A,,,,,,
Federated States of Micronesia,1989,3A1,,,,,,
Federated States of Micronesia,1989,3A2,,,,,,
Federated States of Micronesia,1989,3B,,,,,,
Federated States of Micronesia,1989,3B1,,,,,,
Federated States of Micronesia,1989,3B1A,,,,,,
Federated States of Micronesia,1989,3B1B,,,,,,
Federated States of Micronesia,1989,3B2,,,,,,
Federated States of Micronesia,1989,3B2A,,,,,,
Federated States of Micronesia,1989,3B2B,,,,,,
Federated States of Micronesia,1989,3B3,,,,,,
Federated States of Micronesia,1989,3B3A,,,,,,
Federated States of Micronesia,1989,3B3B,,,,,,
Federated States of Micronesia,1989,3B4,,,,,,
Federated States of Micronesia,1989,3B4A,,,,,,
Federated States of Micronesia,1989,3B4B,,,,,,
Federated States of Micronesia,1989,3B5,,,,,,
Federated States of Micronesia,1989,3B5A,,,,,,
Federated States of Micronesia,1989,3B5B,,,,,,
Federated States of Micronesia,1989,3B6,,,,,,
Federated States of Micronesia,1989,3B6A,,,,,,
Federated States of Micronesia,1989,3B6B,,,,,,
Federated States of Micronesia,1989,3B6B1,,,,,,
Federated States of Micronesia,1989,3B6B2,,,,,,
Federated States of Micronesia,1989,3B6B3,,,,,,
Federated States of Micronesia,1989,3B6B4,,,,,,
Federated States of Micronesia,1989,3B6B5,,,,,,
Federated States of Micronesia,1989,3C,,,,,,
Federated States of Micronesia,1989,3C1,,,,,,
Federated States of Micronesia,1989,3C2,,,,,,
Federated States of Micronesia,1989,3C3,,,,,,
Federated States of Micronesia,1989,3C4,,,,,,
Federated States of Micronesia,1989,3C5,,,,,,
Federated States of Micronesia,1989,3C6,,,,,,
Federated States of Micronesia,1989,3C7,,,,,,
Federated States of Micronesia,1989,3C8,,,,,,
Federated States of Micronesia,1989,3D,,,,,,
Federated States of Micronesia,1989,3D1,,,,,,
Federated States of Micronesia,1989,3D2,,,,,,
Federated States of Micronesia,1989,4,,,,,,
Federated States of Micronesia,1989,4A,,,,,,
Federated States of Micronesia,1989,4A1,,,,,,
Federated States of Micronesia,1989,4A2,,,,,,
Federated States of Micronesia,1989,4A3,,,,,,
Federated States of Micronesia,1989,4B,,,,,,
Federated States of Micronesia,1989,4C,,,,,,
Federated States of Micronesia,1989,4C1,,,,,,
Federated States of Micronesia,1989,4C2,,,,,,
Federated States of Micronesia,1989,4D,,,,,,
Federated States of Micronesia,1989,4D1,,,,,,
Federated States of Micronesia,1989,4D2,,,,,,
Federated States of Micronesia,1989,4E,,,,,,
Federated States of Micronesia,1989,5,,,,,,
Federated States of Micronesia,1989,5A,,,,,,
Federated States of Micronesia,1989,5A1,,,,,,
Federated States of Micronesia,1989,5A2,,,,,,
Federated States of Micronesia,1990,0,,,,,,
Federated States of Micronesia,1990,1,,,,,,
Federated States of Micronesia,1990,1A,Coal/peat,,,,,
