fuel_name,ncv_tj_per_gg,co2_ef_kg_per_tj,source_id_ncv,source_id_co2_ef,notes
Naphtha,44.5,73300.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Natural Gas,48.0,56100.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Natural Gas Liquids,44.2,64200.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Oil Shale and Tar Sands,8.9,107000.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Orimulsion,27.5,77000.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Other Biogas,,54600.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Other Biogas 18,50.4,,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Other Bituminous Coal,25.8,94600.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Other Kerosene,43.8,71900.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Other Liquid Biofuels,,79600.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Other Liquid Biofuels 15,27.4,,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Other Petroleum Products,40.2,73300.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Other Primary Solid Biomass,,100000.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Other Primary Solid Biomass 11,11.6,,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Oxygen Steel Furnace Gas 5,,182000.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Oxygen Steel Furnace Gas 7,7.06,,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Paraffin Waxes,40.2,73300.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Patent Fuel,20.7,97500.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Peat,9.76,106000.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Petroleum Coke,32.5,97500.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Refinery Feedstocks,43.0,73300.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Refinery Gas 2,49.5,,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Residual Fuel Oil,40.4,77400.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Shale Oil,38.1,73300.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Sludge Gas,,54600.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Sludge Gas 17,50.4,,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Sub-Bituminous Coal,18.9,96100.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
